City/Town,Dropbox Address,Instructions,Instructions Part 1,Concatenated,Election Office,Number,QAer,Zip,How was this information gathered?(inlcude link if found on web),Name ,Email,Campaign Email Info,Campaign Number Info,No Drop Box Ask,Where is the Drop Box located?,Has Dropbox? ,No Info
BOYLSTON,"Town Hall, 221 Main Street","The dropbox is to the right of the front entrance of the town hall.  You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",The dropbox is to the right of the front entrance of the town hall. ,"The dropbox is to the right of the front entrance of the town hall.  You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-869-2234,Ahmad,,,,ljohnson@boylston-ma.gov,Direct email option,508-869-2234,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
HUNTINGTON,"Town Hall, 24 Russell Road ","Dropbox is located by the side door You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",Dropbox is located by the side door,"Dropbox is located by the side door You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-667-3509,Christopher,1050,SOS,,townclerk@huntingtonma.us,,,,,Yes,
WILBRAHAM,"Town Hall, 240 Springfield Street"," You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",," You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-596-2800 x 200,Christopher,1095,,,ctardif@wilbraham-ma.gov,ctardif@wilbraham-ma.gov,413-596-2800 ext 200,,"We know that you have a drop box for ballots.  Can you explain where it's located at the given address? (Record in ""Instructions"" Column L)",Yes,y
ROCKLAND,"Town Hall, 242 Union St #1, Rockland ","Drop ballots through the brass drop slot on the side of the building You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",Drop ballots through the brass drop slot on the side of the building,"Drop ballots through the brass drop slot on the side of the building You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",781-871-1874 x 1120,Christopher,2370,Town of Rockland FB page,,dshortall@rockland-ma.gov,,(781) 871-1874 X 1120,,,Yes,
IPSWICH,"Town Hall, 25 Green Street ","Dropbox is located in front of town hall You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",Dropbox is located in front of town hall,"Dropbox is located in front of town hall You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",978-356-6677,Christopher,1938,SOS,,amya@ipswichma.gov,amya@ipswichma.gov,,,,Yes,
EASTHAM,"Town Hall, 2500 State Highway"," You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",," You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",774-801-3223,Christopher,2642,,,townclerk@eastham-ma.gov,,,,"We know that you have a drop box for ballots.  Can you explain where it's located at the given address? (Record in ""Instructions"" Column L)",Yes,y
DEDHAM,"Town Hall, 26 Bryant Street","Old Town Hall, rear entrance You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","Old Town Hall, rear entrance","Old Town Hall, rear entrance You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",781-751-9200,Christopher,2026,SOS,,pmunchbach@dedham-ma.gov,cmcgourty@dedham-ma.gov,(781) 751-9203,,,Yes,
WEST SPRINGFIELD,"Town Hall, 26 Central Street","There are two dropboxes: one outside town hall and one in the main lobby You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",There are two dropboxes: one outside town hall and one in the main lobby,"There are two dropboxes: one outside town hall and one in the main lobby You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-263-3012,Christopher,1089,SOS,,ofrizzell@west-springfield.ma.us,,,,,Yes,
PLYMOUTH,"Town Hall, 26 Court St, Plymouth","Dropbox is located outside of town hall main entrance You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",Dropbox is located outside of town hall main entrance,"Dropbox is located outside of town hall main entrance You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-747-1620,Christopher,,FB posts,,PSears@plymouth-ma.gov,,508-747-1620,,,Yes,
KINGSTON,"Town Hall, 26 Evergreen Street"," You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",," You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",781-585-0502,Christopher,2364,,,pgallagher@kingstonmass.org,pgallagher@kingstonmass.org,,,"We know that you have a drop box for ballots.  Can you explain where it's located at the given address? (Record in ""Instructions"" Column L)",Yes,y
HOLLAND,"Town Hall, 27 Sturbridge Road"," You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",," You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-245-7108 x 102,Christopher,1521,,,townclerk@townofholland.necoxmail.com,,,,"We know that you have a drop box for ballots.  Can you explain where it's located at the given address? (Record in ""Instructions"" Column L)",Yes,y
TOWNSEND,"Town Hall, 272 Main Street ","Dropbox is located next to the main entrance off of the parking lot You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",Dropbox is located next to the main entrance off of the parking lot,"Dropbox is located next to the main entrance off of the parking lot You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",978-597-1704,Christopher,1469,SOS,,clerk@townsend.ma.us,,,,,Yes,
BURLINGTON,"Town Hall, 29 Center Street","There are several dropboxes located at the front steps, the left side door, and the right side door of the town hall. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","There are several dropboxes located at the front steps, the left side door, and the right side door of the town hall.","There are several dropboxes located at the front steps, the left side door, and the right side door of the town hall. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",781-270-1660,Ahmad,,,,clerk@burlington.org,awarfield@burlington.org,781-270-1663,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
DOUGLAS,"Town Hall, 29 Depot Street","Dropbox is located at front of building at beginning of the accessibility ramp  You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",Dropbox is located at front of building at beginning of the accessibility ramp ,"Dropbox is located at front of building at beginning of the accessibility ramp  You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-476-4000 x 255,Christopher,1516,personal knowledge,Christine Furno,cfurno@douglasma.org,cfurno@douglas-ma.gov,508-476-4000 ext. 255 ,,,Yes,
SAUGUS,"Town Hall, 298 Central Street "," You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",," You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",781-231-4101,Christopher,1906,,,eschena@saugus-ma.gov,,781-231-4104,,"We know that you have a drop box for ballots.  Can you explain where it's located at the given address? (Record in ""Instructions"" Column L)",Yes,y
PERU,"Town Hall, 3 East Main Road","Dropbox is located to the right of the town hall front door You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",Dropbox is located to the right of the town hall front door,"Dropbox is located to the right of the town hall front door You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-655-8312 x 2,Christopher,1235,SOS,,townclerk@townofperuma.com,townclerk@townofperuma.com,413-655-8312 ext 2,,,Yes,
FREETOWN,"Town Hall, 3 North Main Street, Assonet"," You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",," You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-644-2201 x 2,Christopher,2702,,,townclerk@freetownma.gov,,,,"We know that you have a drop box for ballots.  Can you explain where it's located at the given address? (Record in ""Instructions"" Column L)",Yes,y
ESSEX,"Town Hall, 30 Martin Street ","Dropbox is located outside of front door You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",Dropbox is located outside of front door,"Dropbox is located outside of front door You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",978-768-7111,Christopher,1929,SOS,,pthorne@essexma.org,Direct email option,,,,Yes,
GRAFTON,"Town Hall, 30 Providence Road ","Dropbox is located in front of town hall You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",Dropbox is located in front of town hall,"Dropbox is located in front of town hall You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-839-5335 x 1195,Christopher,1519,SOS,,clerks@grafton-ma.gov,,,,,Yes,
WELLFLEET,"Town Hall, 300 Main St.","The dropbox is a gray box at the back door of town hall near the stairs. It is a universal drop box shared with the tax collector, but there is a large sign above it that says “place ballots in the gray dropbox."" You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","The dropbox is a gray box at the back door of town hall near the stairs. It is a universal drop box shared with the tax collector, but there is a large sign above it that says “place ballots in the gray dropbox.""","The dropbox is a gray box at the back door of town hall near the stairs. It is a universal drop box shared with the tax collector, but there is a large sign above it that says “place ballots in the gray dropbox."" You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-349-0301,Christopher,(zero)2667,email,,jennifer.congel@wellfleet-ma.gov,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,Yes,
HARDWICK,"Town Hall, 307 Main St. Gilbertville ","Dropbox is located at the top of the front stairs to the right You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",Dropbox is located at the top of the front stairs to the right,"Dropbox is located at the top of the front stairs to the right You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-477-6700 x 104,Christopher,1082,City Outreach Project,,clerk@townofhardwick.com,,,,,Yes,
STURBRIDGE,"Town Hall, 308 Main St.","Secure dropbox is located outside to the right of the town hall back entrance You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",Secure dropbox is located outside to the right of the town hall back entrance,"Secure dropbox is located outside to the right of the town hall back entrance You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-347-2510,Christopher,(zero)1566,email,,townclerk@town.sturbridge.ma.us,townclerk@town.sturbridge.ma.us,(508) 347-2510,Do you have a secure drop box for ballots?  What is the address and location on site?,,Yes,
LEE,"Town Hall, 32 Main Street ","Dropbox is located in the town hall entryway You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",Dropbox is located in the town hall entryway,"Dropbox is located in the town hall entryway You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-243-5505,Christopher,1238,SOS,,cbrittain@town.lee.ma.us,cbrittain@town.lee.ma.us,413-243-5505 ,,,Yes,
ROWE,"Town Hall, 321 Zoar Rd"," You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",," You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-339-5520,Christopher,1367,,,townclerk@rowe-ma.gov,,,,"We know that you have a drop box for ballots.  Can you explain where it's located at the given address? (Record in ""Instructions"" Column L)",Yes,y
ROCKPORT,"Town Hall, 34 Broadway","Dropbox is located by back door of town hall You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",Dropbox is located by back door of town hall,"Dropbox is located by back door of town hall You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",978-546-6894,Christopher,(zero)1966,phone call with town clerk,,pbrown@rockportma.gov,,"978-546-5000, ext. 40122",Do you have a secure drop box for ballots?  What is the address and location on site?,,Yes,
WESTBOROUGH,"Town Hall, 34 West Main Street","Dropbox is located in front of town hall You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",Dropbox is located in front of town hall,"Dropbox is located in front of town hall You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-366-3020,Christopher,(zero)1581,email,Wendy Mickel,wmickel@town.westborough.ma.us,townclerk@town.westborough.ma.us,(508) 366-3020,Do you have a secure drop box for ballots?  What is the address and location on site?,,Yes,
LAKEVILLE,"Town Hall, 346 Bedford Street"," You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",," You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-946-8800,Christopher,2347,,,ldrane@lakevillema.org,,,,"We know that you have a drop box for ballots.  Can you explain where it's located at the given address? (Record in ""Instructions"" Column L)",Yes,y
LANESBOROUGH,"Town Hall, 346 Bedford Street"," You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",," You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-442-1351,Christopher,1237,,,town.clerk@lanesborough-ma.gov,Town.clerk@lanesborough-ma.gov,(413) 442-1351,,"We know that you have a drop box for ballots.  Can you explain where it's located at the given address? (Record in ""Instructions"" Column L)",Yes,y
STONEHAM,"Town Hall, 35 Central Street"," You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",," You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",781-279-2650,Christopher,2180,,,msagarino@stoneham-ma.gov,,781-279-2650,,"We know that you have a drop box for ballots.  Can you explain where it's located at the given address? (Record in ""Instructions"" Column L)",Yes,y
ANDOVER,"Town Hall, 36 Bartlet Street","Dropbox is located in front of town hall Bartlet Street entrance You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",Dropbox is located in front of town hall Bartlet Street entrance,"Dropbox is located in front of town hall Bartlet Street entrance You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",978-623-8230,Christopher,1810,,,Austin.Simko@andoverma.us,Direct email option,,,,Yes,
AGAWAM,"Town Hall, 36 Main Street","clerk@agawam.ma.us 413-786-0400 x 8215 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",clerk@agawam.ma.us 413-786-0400 x 8215,"clerk@agawam.ma.us 413-786-0400 x 8215 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-786-0400 x 8215,Ahmad,,,Vince Gioscia,clerk@agawam.ma.us,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
HANCOCK,"Town Hall, 3650 Hancock Road"," You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",," You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-738-5225,Christopher,1237,,,hantclb1@aol.com,,,,"We know that you have a drop box for ballots.  Can you explain where it's located at the given address? (Record in ""Instructions"" Column L)",Yes,y 
BARNSTABLE,"Town Hall, 367 Main Street ","Drop the ballot off into the black secure lock box located near the entrance of town hall You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",Drop the ballot off into the black secure lock box located near the entrance of town hall,"Drop the ballot off into the black secure lock box located near the entrance of town hall You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-862-4044,Christopher,2601,Cape Cod Times https://www.capecodtimes.com/news/20200730/town-clerks-on-cape-cod-brace-for-onslaught-of-mail-in-ballot-applications,Ann Quirk,ann.quirk@town.barnstable.ma.us,Direct email option,,,,Yes,
CHARLTON,"Town Hall, 37 Main Street","Dropbox is located outside town hall near accessible parking You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",Dropbox is located outside town hall near accessible parking,"Dropbox is located outside town hall near accessible parking You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-248-2249,Christopher,1507,SOS,,town.clerk@townofcharlton.net,,,,,Yes,
HINSDALE,"Town Hall, 39 South Street","The dropbox is located to the left of the side entrance of the town hall, nearest the upper parking lot. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","The dropbox is located to the left of the side entrance of the town hall, nearest the upper parking lot.","The dropbox is located to the left of the side entrance of the town hall, nearest the upper parking lot. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-655-2301,Ahmad,,,,clerk@hinsdalema.gov,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
AMHERST,"Town Hall, 4 Boltwood Ave","Dropbox is located around the corner at the door on main street You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",Dropbox is located around the corner at the door on main street,"Dropbox is located around the corner at the door on main street You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-259-3035,Christopher,1002,,,townclerk@amherstma.gov,martins@amherstma.gov,413-259-3035,,,Yes,
WHATELY,"Town Hall, 4 Sandy Lane"," You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",," You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-665-4400 x 3,Christopher,1373,,,townclerk@whately.org,,,,"We know that you have a drop box for ballots.  Can you explain where it's located at the given address? (Record in ""Instructions"" Column L)",Yes,y
SUTTON,"Town Hall, 4 Uxbridge Rd","Drop box is located on the sidewalk in front of town hall You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",Drop box is located on the sidewalk in front of town hall,"Drop box is located on the sidewalk in front of town hall You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-865-8725,Christopher,(zero)1590,email,Laura Caruso,l.caruso@town.sutton.ma.us,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,Yes,
CHILMARK,"Town Hall, 401 Middle Road","Two ballot dropboxes are located at the main entry to the Town Hall. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",Two ballot dropboxes are located at the main entry to the Town Hall.,"Two ballot dropboxes are located at the main entry to the Town Hall. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-645-2107,Malia,,,,townclerk@chilmarkma.gov,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
SOUTHBRIDGE,"Town Hall, 41 Elm Street","Drop ballots in the  “payment box” on the side of the building You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",Drop ballots in the  “payment box” on the side of the building,"Drop ballots in the  “payment box” on the side of the building You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-764-5408,Christopher,(zero)1550,email,Madaline Bonadies,mbonadies@southbridgemass.org,,508-764-5408,Do you have a secure drop box for ballots?  What is the address and location on site?,,Yes,
COHASSET,"Town Hall, 41 Highland Ave"," You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",," You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",781-383-4100 x 105,Christopher,2025,https://www.cohassetma.org/244/Town-Clerk,Carol St. Pierre,cstpierre@cohassetma.org,,,,"We know that you have a drop box for ballots.  Can you explain where it's located at the given address? (Record in ""Instructions"" Column L)",Yes,y
PALMER,"Town Hall, 4417 Main Street"," You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",," You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-283-2608,Christopher,1069,,,scoache@townofpalmer.com,,,,"We know that you have a drop box for ballots.  Can you explain where it's located at the given address? (Record in ""Instructions"" Column L)",Yes,y
SOUTHWICK,"Town Hall, 454 College Highway","You can drop your ballots in the Green dropbox that you will see right when you pull into the entrance/exit of Town Hall. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",You can drop your ballots in the Green dropbox that you will see right when you pull into the entrance/exit of Town Hall.,"You can drop your ballots in the Green dropbox that you will see right when you pull into the entrance/exit of Town Hall. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-569-5504,Malia,,,,treasurer@southwickma.net,,(413) 569-5504,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
BELMONT,"Town Hall, 455 Concord Avenue","Secure, marked dropbox is located on the driveway side of Town Hall You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","Secure, marked dropbox is located on the driveway side of Town Hall","Secure, marked dropbox is located on the driveway side of Town Hall You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",617-993-2600,Christopher,2478,https://www.belmont-ma.gov/town-clerk/pages/elections-vote-by-mail,,townclerk@belmont-ma.gov,townclerk@belmont-ma.gov,(617) 993-2600,,,Yes,
WARREN,"Town Hall, 48 High Street"," You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",," You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-436-5701 x 3,Christopher,1083,,,lowell@warren-ma.gov,,,,,Yes,y
MIDDLETON,"Town Hall, 48 South Main Street"," You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",," You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",978-774-6927,Christopher,1949,,,townclerk@middletonma.gov,Ilene.Twiss@middletonma.gov,,,"We know that you have a drop box for ballots.  Can you explain where it's located at the given address? (Record in ""Instructions"" Column L)",Yes,y
